COUNT,CODE
1019,97
1028,96
1094,95
1348,94
1091,93
1115,92
1255,91
1411,90
1414,89
1338,88
1302,87
1370,86
1332,85
1436,84
1414,83
1583,82
1566,81
1700,80
1703,79
1798,78
1811,77
1751,76
1933,75
2017,74
1947,73
2141,72
2301,71
2279,70
2370,69
2406,68
2475,67
2578,66
2760,65
2873,64
3218,63
3150,62
3245,61
3460,60
3517,59
3655,58
3974,57
4258,56
4104,55
4422,54
4346,53
4630,52
4900,51
5177,50
5485,49
5477,48
5994,47
5987,46
6225,45
6829,44
7146,43
7673,42
8120,41
8831,40
9555,39
9994,38
10737,37
12441,36
13339,35
14664,34
16515,33
18630,32
21546,31
24277,30
27136,29
31344,28
36749,27
43134,26
51534,25
59912,24
68755,23
81598,22
98383,21
118641,20
143585,19
175647,18
213972,17
266654,16
336337,15
429971,14
559516,13
747415,12
978613,11
1322198,10
1808890,9
2486361,8
3492683,7
5017625,6
7387926,5
11154533,4
15614329,3
20526637,2
34474774,1
